,osmid,longitude,latitude,el_dmd,lv_grid,consumers,label,source,voltage,trafo,moved_from_water,cluster_area,grid_id,r,g,b,size,geometry
0,0,6.624249706583921,46.52300131030519,0.33843694915454503,5586-138_0_4,True,9140146485,false,0.9945152086635778,,,,632_0,255,0,0,16.921847457727253,POINT (6.62425 46.523001)
1,1,6.624318706583975,46.52313211030521,0,-1,False,567148190,false,0.9945251792875051,,,,632_0,255,0,0,0,POINT (6.624319 46.523132)
2,2,6.625003606584594,46.52394421030547,0,-1,False,6127840404,false,0.9945784667876282,,,,632_0,255,0,0,0,POINT (6.625004 46.523944)
3,38,6.625487115130115,46.5238290309652,0.11019966969140159,-1,True,intersect_68,false,0.9945729374513771,,,,632_0,255,0,0,5.509983484570079,POINT (6.625487 46.523829)
4,3,6.625963206585751,46.52355841030509,0,-1,False,277945179,false,0.9947339742326811,,,,632_0,255,0,0,0,POINT (6.625963 46.523558)
5,33,6.625128197446526,46.52417654013377,0.31359331396327517,5586-243_0_4,True,intersect_92,false,0.9945648181650059,,,,632_0,255,0,0,15.679665698163758,POINT (6.625128 46.524177)
6,180,6.626255712188732,46.52348655986092,0.07255804369001212,-1,True,intersect_86,false,0.9947593880453305,,,,632_0,255,0,0,3.627902184500606,POINT (6.626256 46.523487)
7,35,6.624759561738396,46.52427072518213,0.0740828549331461,-1,True,92,false,0.9945619632558417,False,False,632.0,632_0,255,0,0,3.7041427466573054,POINT (6.62476 46.524271)
8,95,6.626456206586335,46.52343731030494,0,-1,False,3461281154,false,0.9947783205467913,,,,632_0,255,0,0,0,POINT (6.626456 46.523437)
9,4,6.6210879065807005,46.521213710305005,0.35656619190486627,5586-139_0_6,True,10045925849,false,0.9989579836585284,,,,632_0,255,0,0,17.828309595243315,POINT (6.621088 46.521214)
10,6,6.621098606580719,46.521165310304994,0,-1,False,594739679,false,0.9989604558755586,,,,632_0,255,0,0,0,POINT (6.621099 46.521165)
11,157,6.6215403065813,46.5207587103047,0,-1,False,595249318,false,0.9989994709855181,,,,632_0,255,0,0,0,POINT (6.62154 46.520759)
12,158,6.621319081723469,46.52066899093056,0.07340494059390877,-1,True,intersect_77,false,0.9990108365411635,,,,632_0,255,0,0,3.6702470296954384,POINT (6.621319 46.520669)
13,156,6.6215832257462965,46.5206548815466,0.09637233495294399,-1,True,intersect_60,false,0.9989979939265429,,,,632_0,255,0,0,4.8186167476472,POINT (6.621583 46.520655)
14,5,6.62230810658207,46.521256710304804,0,-1,False,10045925847,false,0.9992182346553855,,,,632_0,255,0,0,0,POINT (6.622308 46.521257)
15,7,6.622409706581984,46.52226121030523,0,-1,False,565075962,false,0.9990685170280795,,,,632_0,255,0,0,0,POINT (6.62241 46.522261)
16,9,6.622506206582331,46.521076910304664,0,-1,False,594739729,false,0.9992482537932585,,,,632_0,255,0,0,0,POINT (6.622506 46.521077)
17,192,6.622298206581861,46.52226891030524,0.09190620283934445,-1,True,565075960,false,0.9990675137894479,,,,632_0,255,0,0,4.595310141967222,POINT (6.622298 46.522269)
18,8,6.621355106580834,46.52204971030535,0,-1,False,565075946,false,0.998988244779248,,,,632_0,255,0,0,0,POINT (6.621355 46.52205)
19,131,6.621410474108253,46.52242703618054,0.109753378212878,-1,True,intersect_46,false,0.9989579821028363,,,,632_0,255,0,0,5.4876689106439,POINT (6.62141 46.522427)
20,107,6.623957206584289,46.519496310303595,0,-1,False,8898770854,false,0.9986108314465334,,,,632_0,255,0,0,0,POINT (6.623957 46.519496)
21,103,6.624515506584493,46.52164381030448,0,-1,False,10243390233,false,0.9997872093691987,,,,632_0,255,0,0,0,POINT (6.624516 46.521644)
22,155,6.622521660043943,46.520635426469404,0.08785796228759932,-1,True,intersect_78,false,0.9991909283917038,,,,632_0,255,0,0,4.392898114379966,POINT (6.622522 46.520635)
23,10,6.6194473065788895,46.52099111030525,0,-1,False,280607,false,0.9987859024964469,,,,632_0,255,0,0,0,POINT (6.619447 46.520991)
24,74,6.6189615995136535,46.520983238903014,0.09032736285811716,-1,True,intersect_57,false,0.9987505068484278,,,,632_0,255,0,0,4.516368142905858,POINT (6.618962 46.520983)
25,194,6.6198635065794456,46.52053371030494,0.08059715247410151,-1,True,8558174520,false,0.9989038026244087,,,,632_0,255,0,0,4.029857623705076,POINT (6.619864 46.520534)
26,61,6.621470706580816,46.5228375103057,0,-1,False,565075948,false,0.9989314561597918,,,,632_0,255,0,0,0,POINT (6.621471 46.522838)
27,179,6.623529048138592,46.5196764273942,0.13321721175540935,-1,True,intersect_85,false,0.9986043066252732,,,,632_0,255,0,0,6.660860587770467,POINT (6.623529 46.519676)
28,106,6.6250436065856,46.51903941030317,0,-1,False,10062804045,false,0.998405131668793,,,,632_0,255,0,0,0,POINT (6.625044 46.519039)
29,108,6.6260321065868055,46.518626710302755,0,-1,False,10062780984,false,0.9982503284656785,,,,632_0,255,0,0,0,POINT (6.626032 46.518627)
30,163,6.62500450658554,46.51915241030324,0.4097659812974073,5586-46_0_6,True,561463444,false,0.9983899620108153,,,,632_0,255,0,0,20.488299064870365,POINT (6.625005 46.519152)
31,105,6.624671206584598,46.52199131030459,0,-1,False,277946450,false,0.999924470048901,,,,632_0,255,0,0,0,POINT (6.624671 46.521991)
32,102,6.624859061645848,46.52156803685154,0.19300665654610089,-1,True,intersect_34,false,0.9997777131522098,,,,632_0,255,0,0,9.650332827305045,POINT (6.624859 46.521568)
33,159,6.625960120997579,46.51865671069734,0.08556271689486351,-1,True,intersect_61,false,0.9982496249307202,,,,632_0,255,0,0,4.278135844743176,POINT (6.62596 46.518657)
34,191,6.627814406588734,46.5190819103026,0.14352515774984062,-1,True,897959601,false,0.99780937208834,,,,632_0,255,0,0,7.176257887492031,POINT (6.627814 46.519082)
35,27,6.6225299065824785,46.520454910304366,0,-1,False,595249401,false,0.9991677671395166,,,,632_0,255,0,0,0,POINT (6.62253 46.520455)
36,73,6.618273806577561,46.520965910305485,0,-1,False,4601363171,false,0.9987011247307646,,,,632_0,255,0,0,0,POINT (6.618274 46.520966)
37,172,6.620168606579862,46.52018511030471,0,-1,False,8558174513,false,0.9989479933453498,,,,632_0,255,0,0,0,POINT (6.620169 46.520185)
38,11,6.621205006580336,46.52371651030614,0.3381333031755642,5586-140_0_5,True,9766613094,false,0.9940450039577751,,,,632_0,255,0,0,16.90666515877821,POINT (6.621205 46.523717)
39,13,6.62121150658034,46.52374961030619,0,-1,False,1866048492,false,0.9940466112881025,,,,632_0,255,0,0,0,POINT (6.621212 46.52375)
40,14,6.621413006580495,46.5241026103063,0,-1,False,8447079647,false,0.9941020654154797,,,,632_0,255,0,0,0,POINT (6.621413 46.524103)
41,12,6.621790424171712,46.52369484821138,0.07638762067536672,-1,True,intersect_64,false,0.9940399448415568,,,,632_0,255,0,0,3.819381033768336,POINT (6.62179 46.523695)
42,15,6.619727406578477,46.52467631030692,0,-1,False,4130341390,false,0.9945421220551397,,,,632_0,255,0,0,0,POINT (6.619727 46.524676)
43,164,6.621737055167285,46.52424536172102,0.17092704380149482,-1,True,intersect_63,false,0.994010989826306,,,,632_0,255,0,0,8.54635219007474,POINT (6.621737 46.524245)
44,21,6.619542606578251,46.524765010306986,0.2973767575836617,5586-164_0_4,True,583412285,false,0.9945941042705718,,,,632_0,255,0,0,14.868837879183086,POINT (6.619543 46.524765)
45,165,6.621879106580941,46.52450301030634,0,-1,False,8447079646,false,0.9939233149022637,,,,632_0,255,0,0,0,POINT (6.621879 46.524503)
46,22,6.61818920657658,46.525452710307626,0,-1,False,563021204,false,0.9952582728086479,,,,632_0,255,0,0,0,POINT (6.618189 46.525453)
47,16,6.628273906589223,46.51921481030258,0.2860408435635674,5586-14_0_4,True,564145994,false,0.9977322233586509,,,,632_0,255,0,0,14.30204217817837,POINT (6.628274 46.519215)
48,17,6.6282194065891815,46.51912311030253,0,-1,False,330168199,false,0.9977481040859686,,,,632_0,255,0,0,0,POINT (6.628219 46.519123)
49,18,6.628416806589352,46.51937981030261,0,-1,False,897959546,false,0.997701111414425,,,,632_0,255,0,0,0,POINT (6.628417 46.51938)
50,19,6.628149006589126,46.5189956103025,0,-1,False,897959616,false,0.997769965674171,,,,632_0,255,0,0,0,POINT (6.628149 46.518996)
51,20,6.629214806590181,46.51977681030264,0,-1,False,582971921,false,0.9975631751862637,,,,632_0,255,0,0,0,POINT (6.629215 46.519777)
52,187,6.629384706590322,46.52002631030272,0,-1,False,334242859,false,0.9974915525312903,,,,632_0,255,0,0,0,POINT (6.629385 46.520026)
53,190,6.629248206590201,46.51986351030266,0.3653414078080383,5586-23_0_6,True,347672313,false,0.9975492532465559,,,,632_0,255,0,0,18.267070390401916,POINT (6.629248 46.519864)
54,119,6.6295572065903565,46.52083261030304,0,-1,False,10263308786,false,0.9970555734859523,,,,632_0,255,0,0,0,POINT (6.629557 46.520833)
55,23,6.617710906575991,46.52569591030783,0.25840570625891013,5586-39_0_4,True,598646930,false,0.9952432498578343,,,,632_0,255,0,0,12.920285312945506,POINT (6.617711 46.525696)
56,24,6.61757430657602,46.524778810307374,0,-1,False,8487157071,false,0.9955880959774916,,,,632_0,255,0,0,0,POINT (6.617574 46.524779)
57,58,6.617447671648696,46.52440980128878,0.2953658753707055,-1,True,56,false,0.9958262752464866,False,False,632.0,632_0,255,0,0,14.768293768535276,POINT (6.617448 46.52441)
58,57,6.617587480821412,46.524342571937,0.3773865154096153,5586-33_0_4,True,intersect_56,false,0.9958799094987707,,,,632_0,255,0,0,18.869325770480767,POINT (6.617587 46.524343)
59,25,6.622438185103201,46.51947839735866,0.3017340302984099,5586-198_0_5,True,intersect_6,false,0.999116429389443,,,,632_0,255,0,0,15.086701514920495,POINT (6.622438 46.519478)
60,26,6.622873306582983,46.519868810304,0,-1,False,563021122,false,0.9991378107250988,,,,632_0,255,0,0,0,POINT (6.622873 46.519869)
61,152,6.621831306581707,46.52037231030445,0.35432445212299896,-1,True,intersect_59,false,0.9991031903871157,,,,632_0,255,0,0,17.716222606149948,POINT (6.621831 46.520372)
62,153,6.621531006581378,46.52032331030453,0,-1,False,8572813072,false,0.9990774478671307,,,,632_0,255,0,0,0,POINT (6.621531 46.520323)
63,28,6.623376906582662,46.52438921030598,0.19402518085057172,5586-241_0_2,True,598677170,false,0.9928428976093456,,,,632_0,255,0,0,9.701259042528585,POINT (6.623377 46.524389)
64,30,6.6233220065825895,46.52446201030604,0,-1,False,598677169,false,0.9928461260650482,,,,632_0,255,0,0,0,POINT (6.623322 46.524462)
65,31,6.623588016155767,46.524299820328025,0.08235728640820571,-1,True,intersect_66,false,0.992840892879785,,,,632_0,255,0,0,4.117864320410285,POINT (6.623588 46.5243)
66,32,6.6239748065831945,46.525140010306224,0,-1,False,331239554,false,0.9928873125308059,,,,632_0,255,0,0,0,POINT (6.623975 46.52514)
67,29,6.622944642688786,46.52433671807668,0.0737741869335663,-1,True,intersect_65,false,0.9928415063800461,,,,632_0,255,0,0,3.6887093466783147,POINT (6.622945 46.524337)
68,40,6.621744806580665,46.5251528103067,0,-1,False,598677107,false,0.9937025798831854,,,,632_0,255,0,0,0,POINT (6.621745 46.525153)
69,39,6.624326207657458,46.524993736624914,0.3436563707845966,5586-244_0_4,True,intersect_11,false,0.992840555601604,,,,632_0,255,0,0,17.18281853922983,POINT (6.624326 46.524994)
70,193,6.621949606580922,46.5250429103066,0.2656148784668835,5586-240_0_3,True,598677105,false,0.9937409166341385,,,,632_0,255,0,0,13.280743923344174,POINT (6.62195 46.525043)
71,37,6.62469430658406,46.52484051030597,0,-1,False,331239557,false,0.9928060938449915,,,,632_0,255,0,0,0,POINT (6.624694 46.524841)
72,34,6.625662306585161,46.52484031030575,0,-1,False,9812549574,false,0.9927287270145311,,,,632_0,255,0,0,0,POINT (6.625662 46.52484)
73,36,6.625984706585549,46.52472951030562,0,-1,False,9812552773,false,0.9926923484690126,,,,632_0,255,0,0,0,POINT (6.625985 46.52473)
74,149,6.62623638778626,46.52455112264217,0.11137034098492961,-1,True,intersect_54,false,0.9926768370463601,,,,632_0,255,0,0,5.568517049246481,POINT (6.626236 46.524551)
75,41,6.624454394243467,46.524628177110245,0.09843241969588525,-1,True,intersect_76,false,0.9927915254373157,,,,632_0,255,0,0,4.921620984794262,POINT (6.624454 46.524628)
76,150,6.626440506586114,46.5244623103054,0.3257027260636579,5586-90_0_4,True,258755819,false,0.9926650817807959,,,,632_0,255,0,0,16.285136303182895,POINT (6.626441 46.524462)
77,42,6.624390706583772,46.524571810305865,0,-1,False,331239551,false,0.9927886592828917,,,,632_0,255,0,0,0,POINT (6.624391 46.524572)
78,166,6.6221066065811165,46.52495761030652,0,-1,False,4130339487,false,0.9937756470589997,,,,632_0,255,0,0,0,POINT (6.622107 46.524958)
79,65,6.624069106583478,46.524242510305804,0.2817342835301957,5586-352_0_4,True,331239541,false,0.9927727384960333,,,,632_0,255,0,0,14.086714176509785,POINT (6.624069 46.524243)
