id_building,x,y,cluster_id,grid_node,Hub
10,2537763.934,1152736.286,52,89,Building1
11,2537745.695,1152845.777,67,102,Building2
12,2537774.918,1152876.028,67,102,Building3
120,2537883.024,1152820.996,30,101,Building4
141,2537947.311,1152693.849,66,171,Building5
15,2537780.507,1152990.444,33,151,Building6
158,2537967.257,1152598.718,43,45,Building7
16,2537752.161,1153047.143,33,151,Building8
176,2538001.444,1152894.627,12,152,Building9
178,2537934.009,1152920.39,12,152,Building10
180,2537945.686,1152902.597,12,152,Building11
1897466,2537183.978,1152889.488,91,16,Building12
1897470,2537207.595,1152930.232,50,16,Building13
1897474,2537244.535,1152321.267,85,173,Building14
1897490,2537204.731,1153075.224,37,22,Building15
1897644,2537230.364,1152913.456,50,16,Building16
1897661,2537263.751,1152324.376,85,173,Building17
1897747,2537243.802,1152350.716,85,173,Building18
1897820,2536961.096,1153217.301,49,24,Building19
1897823,2537275.991,1153016.951,70,41,Building20
1898058,2537275.992,1153169.169,69,41,Building21
1898089,2537232.938,1153144.966,15,41,Building22
1898256,2537573.257,1153111.218,72,40,Building23
1899229,2537222.501,1152351.759,85,173,Building24
1899288,2537229.054,1152542.231,60,5,Building25
1899639,2536748.406,1152922.477,88,130,Building29
1899683,2536732.48,1152993.234,29,61,Building30
1899685,2536770.324,1152985.587,29,61,Building31
1899690,2536755.442,1153042.655,93,61,Building32
1899739,2536814.934,1152952.868,63,61,Building35
1899740,2536825.331,1153088.25,90,61,Building36
1899743,2536818.221,1152982.575,63,61,Building38
1899744,2536820.956,1153050.363,90,61,Building39
1899789,2536865.131,1152942.221,63,61,Building40
1899790,2536868.769,1153007.075,8,61,Building41
1899791,2536876.755,1153082.931,57,24,Building42
1899840,2536906.144,1152980.816,8,61,Building44
1899841,2536917.795,1153037.416,71,24,Building45
1899842,2536927.959,1153074.245,71,24,Building46
1899889,2536956.1,1152974.729,39,24,Building47
1899890,2536968.621,1152994.616,39,24,Building48
1899893,2536981.356,1153032.47,39,24,Building49
1900013,2537763.975,1152224.804,31,192,Building50
1900014,2537865.172,1152235.679,5,20,Building51
1900020,2537835.234,1152265.64,5,20,Building52
1900021,2537869.604,1152255.494,5,20,Building53
1900022,2537785.704,1152279.353,31,192,Building54
1900023,2537881.468,1152272.669,96,17,Building55
1900025,2537887.435,1152284.729,96,17,Building56
1900031,2537801.006,1152331.947,31,192,Building57
1900032,2537855.452,1152352.917,56,19,Building58
1900034,2537889.537,1152440.161,10,120,Building59
1900052,2537938.682,1152433.36,10,120,Building60
1900055,2537900.533,1152475.7,10,120,Building61
1900056,2537923.677,1152470.886,10,120,Building62
1900078,2538015.351,1152284.39,36,21,Building63
1902943,2537372.573,1152334.843,7,26,Building66
1902988,2536873.131,1152726.098,55,68,Building67
1902990,2536904.034,1152769.624,55,68,Building68
