Hub,id_building,egid,id_class,class,ratio,status,period,n_p,ERA,SolarRoofArea,area_facade_m2,height_m,count_floor,source_heating,source_hotwater,U_h,HeatCapacity,T_comfort_min_0,Th_supply_0,Th_return_0,Tc_supply_0,Tc_return_0,x,y,z,transformer,energy_heating_signature_kWh_y,energy_cooling_signature_kWh_y,energy_hotwater_signature_kWh_y,energy_el_kWh_y,roof_annual_irr_kWh_y,facade_annual_irr_kWh_y
Building1,10,883347,I,Residential,1,"['existing', 'existing', 'existing']",1981-1990,20.4,818.0,210.520769,1407.9,23.68,7.0,Gas,Gas,0.00152,120.3,20.0,65.0,50.0,12,17,2537763.934,1152736.286,513.82,3244,65542.85205,0.0,2667.141387,22904.0,280624,531530
Building2,11,883191/883202,II/I,Residential,0.18741633199464525/0.8125836680053548,"['existing', 'existing', 'existing', 'existing', 'existing']",<1919,17.5,747.0,878.6735931,3959.381027,19.34094141,7.0,Oil,Oil,0.00181,120.1313253,20.0,65.0,50.0,12,17,2537745.695,1152845.777,516.4509414,3244,71273.4236,0.0,2361.891502,20076.0,1009291,600645
Building3,12,883203,I,Residential,1,"['existing', 'existing', 'existing']",1981-1990,34.3,1373.0,615.1286546,1298.4,16.44,6.0,Gas,Gas,0.00152,120.3,20.0,65.0,50.0,12,17,2537774.918,1152876.028,518.37,3244,110012.6355,0.0,4484.458312,38444.0,678857,479455
Building4,120,883220,I,Residential,1,"['existing', 'existing', 'existing']",<1919,10.5,420.0,319.6692775,460.5959892,8.996895015,4.0,Gas,Gas,0.00181,120.3,20.0,65.0,50.0,12,17,2537883.024,1152820.996,509.476895,3217,40073.41086,0.0,1372.793361,11760.0,323296,132006
Building5,141,2119095/2118987/883338/883337/2119583/883336/883353/883356/2119264/2119097/883352/280076110,V/V/II/I/III/I/I/V/I/I/I/V/V/I/V,Commercial/Residential/Administrative,0.3036286801085177/0.004922410393218357/0.051186355124864365/0.039567762536622766/0.10084938366593706/0.05718929462878919/0.055704696686958315/0.014587142994537325/0.08307293700592741/0.04582889298695296/0.019428868717004003/0.06531198180270209/0.0789986838716507/0.015491456784322127/0.06423145269199562,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'target', 'target', 'target', 'target', 'target', 'target', 'target']",<1919/1971-1980/1961-1970,1037.6,13116.42,4635.410234,144916.3278,17.95583998,5.597990915,Gas/Oil,Not determined/Oil/Gas,0.001040877,113.54496,20.0,65.0,50.0,12,17,2537947.311,1152693.849,508.8882461,3246,719548.0568,0.0,29037.29087,460840.13,5133768,3201919
Building6,15,2118383/280006273/280007916/883163/883150/883151/2118382,I/I/I/V/IX/IX/IX,Industrial/Residential/Commercial,0.08687336199910937/0.20477292471218636/0.40826829998320935/0.05940604901409685/0.09403128901088473/0.083507931756959/0.06314014352355438,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",1919-1945/1946-1960/<1919/1961-1970,194.4,5479.24,2217.115233,18241.22043,19.09003553,5.443725772,Other/Oil/Gas,None/Oil/Gas,0.001883028,117.7449085,19.51864127,65.0,50.0,12,17,2537780.507,1152990.444,523.8065549,3217,561413.494,0.0,0.0,140540.08,2244733,838740
Building7,158,2118930/2119314/2119312/2119315/2119317/882759/882760/2118986/882740/882747/882746/2118932/882758/2119310,V/V/V/V/I/II/I/I/V/I/V/V/I/I/III/I/II,Commercial/Residential/Administrative,0.17005237652356944/0.02937001321650595/0.015859807136913213/0.019971608987224044/0.04792365059790084/0.0032370175856901717/0.04097590553593169/0.016264039576882328/0.16829017573057908/0.03584404838788629/0.044348719956923986/0.12849380782221353/0.02605404398238431/0.033001789044353455/0.17886338048852124/0.024396059365323488/0.017053556061197003,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",<1919/1946-1960/1991-2000/1961-1970,918.9,9561.42,4318.726315,176455.1374,19.54727136,5.872979118,Gas/Other/Electricity/Oil/District heat,Gas/None/Solar (thermal)/Electricity/Oil/District heat,0.001210786,112.5803145,20.0,65.0,50.0,12,17,2537967.257,1152598.718,508.91294,3246,596970.2691,0.0,0.0,376015.06,4878741,2459209
Building8,16,883130/883112,I/I,Residential,0.5398050365556458/0.4601949634443542,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing']",1946-1960,61.5,2462.0,569.5949903,3125.406546,21.47,5.539805037,Oil,Oil,0.00202,120.3,20.0,65.0,50.0,12,17,2537752.161,1153047.143,528.58,3217,262160.8653,0.0,8040.646827,68936.0,770995,824415
Building9,176,2118523/280022151/883165/883172/883167/883164/883173/883161/883166/883175/883174,V/V/I/I/I/I/I/I/I/I/I,Commercial/Residential,0.16164645494099283/0.007273348293947336/0.06408271538336308/0.1076557696789001/0.06639703511700881/0.09025846961218385/0.09321122237580083/0.19735561038985913/0.029687135893662595/0.10063300634921649/0.08179923196506494,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",1961-1970/1946-1960/1919-1945/<1919,472.0,12530.68,2972.347776,77169.78367,23.38400536,6.244235748,Gas/Other/Oil,Oil/None/Gas,0.001858359,118.3658683,20.0,65.0,50.0,12,17,2538001.444,1152894.627,529.3720623,3217,1240528.574,0.0,0.0,361442.44,3474150,2644087
Building10,178,2119382/887733/883169/883176,V/I/I/I/I/I,Commercial/Tourism/Residential,0.2769607251630217/0.0863978839758472/0.16627972642278974/0.19596391561002216/0.14238757415013925/0.13201017467817996,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",1946-1960/<1919,189.8,2741.62,1483.463034,29405.4,20.25405122,4.074321022,Other/Oil,None/Oil,0.001469821,117.1287997,20.0,65.0,50.0,12,17,2537934.009,1152920.39,527.0572611,3217,221786.9345,0.0,0.0,121759.46,1603331,896642
